created_time,sentiment_score,sentiment_category,textblob_polarity,vader_compound,financial_positive,financial_negative
2010-02-15,0.1322770399351915,neutral,0.1111111111111111,-0.25,0.9132423996925354,0.0435238666832447
2010-02-16,-0.11718612799710693,neutral,0.10043692129629628,-0.395,0.036215649296840006,0.1803016712268193
2010-02-17,-0.2588005819040078,neutral,0.0501025641025641,-0.8122,0.0583135411143302,0.2091702967882156
2010-02-18,,neutral,,,,
2010-02-19,,neutral,,,,
2010-02-20,,neutral,,,,
2010-02-21,-0.2603663130134344,neutral,0.13406666666666664,-0.9296500000000001,0.0353577900677919,0.14381435513496396
2010-02-22,,neutral,,,,
2010-02-23,,neutral,,,,
2010-02-24,0.0330786384642124,neutral,0.125,0.0,0.0441574491560459,0.0662642568349838
2010-02-25,-0.0688044788646698,neutral,-0.1666666666666666,-0.0516,0.1015891656279563,0.1182115599513053
2010-02-26,0.04618224123813213,neutral,0.060000000000000005,0.0977,0.06650333944708105,0.07214213325642047
2010-02-27,,neutral,,,,
2010-02-28,,neutral,,,,
2010-03-01,,neutral,,,,
2010-03-02,,neutral,,,,
2010-03-03,,neutral,,,,
2010-03-04,,neutral,,,,
2010-03-05,,neutral,,,,
2010-03-06,,neutral,,,,
2010-03-07,,neutral,,,,
2010-03-08,,neutral,,,,
2010-03-09,,neutral,,,,
2010-03-10,,neutral,,,,
2010-03-11,,neutral,,,,
2010-03-12,,neutral,,,,
2010-03-13,,neutral,,,,
2010-03-14,,neutral,,,,
2010-03-15,,neutral,,,,
2010-03-16,,neutral,,,,
2010-03-17,,neutral,,,,
2010-03-18,,neutral,,,,
2010-03-19,,neutral,,,,
2010-03-20,,neutral,,,,
2010-03-21,,neutral,,,,
2010-03-22,,neutral,,,,
2010-03-23,,neutral,,,,
2010-03-24,,neutral,,,,
2010-03-25,,neutral,,,,
2010-03-26,,neutral,,,,
2010-03-27,,neutral,,,,
2010-03-28,,neutral,,,,
2010-03-29,,neutral,,,,
2010-03-30,,neutral,,,,
2010-03-31,,neutral,,,,
2010-04-01,,neutral,,,,
2010-04-02,,neutral,,,,
2010-04-03,,neutral,,,,
2010-04-04,,neutral,,,,
2010-04-05,,neutral,,,,
2010-04-06,,neutral,,,,
2010-04-07,,neutral,,,,
2010-04-08,,neutral,,,,
2010-04-09,,neutral,,,,
2010-04-10,,neutral,,,,
2010-04-11,,neutral,,,,
2010-04-12,,neutral,,,,
2010-04-13,,neutral,,,,
2010-04-14,,neutral,,,,
2010-04-15,,neutral,,,,
2010-04-16,,neutral,,,,
2010-04-17,,neutral,,,,
2010-04-18,,neutral,,,,
2010-04-19,,neutral,,,,
2010-04-20,,neutral,,,,
2010-04-21,,neutral,,,,
2010-04-22,,neutral,,,,
