created_time,sentiment_score,sentiment_category,textblob_polarity,vader_compound,financial_positive,financial_negative
2010-02-15 04:00:00,0.1322770399351915,neutral,0.1111111111111111,-0.25,0.9132423996925354,0.0435238666832447
2010-02-15 08:00:00,,neutral,,,,
2010-02-15 12:00:00,,neutral,,,,
2010-02-15 16:00:00,,neutral,,,,
2010-02-15 20:00:00,,neutral,,,,
2010-02-16 00:00:00,,neutral,,,,
2010-02-16 04:00:00,-0.055397994613846105,neutral,0.08843315972222221,-0.13240000000000002,0.0367976743727922,0.2478373870253563
2010-02-16 08:00:00,,neutral,,,,
2010-02-16 12:00:00,,neutral,,,,
2010-02-16 16:00:00,-0.2407623947636286,neutral,0.1244444444444444,-0.9202,0.0350515991449356,0.0452302396297454
2010-02-16 20:00:00,,neutral,,,,
2010-02-17 00:00:00,,neutral,,,,
2010-02-17 04:00:00,,neutral,,,,
2010-02-17 08:00:00,,neutral,,,,
2010-02-17 12:00:00,,neutral,,,,
2010-02-17 16:00:00,-0.2588005819040078,neutral,0.0501025641025641,-0.8122,0.0583135411143302,0.2091702967882156
2010-02-17 20:00:00,,neutral,,,,
2010-02-18 00:00:00,,neutral,,,,
2010-02-18 04:00:00,,neutral,,,,
2010-02-18 08:00:00,,neutral,,,,
2010-02-18 12:00:00,,neutral,,,,
2010-02-18 16:00:00,,neutral,,,,
2010-02-18 20:00:00,,neutral,,,,
2010-02-19 00:00:00,,neutral,,,,
2010-02-19 04:00:00,,neutral,,,,
2010-02-19 08:00:00,,neutral,,,,
2010-02-19 12:00:00,,neutral,,,,
2010-02-19 16:00:00,,neutral,,,,
2010-02-19 20:00:00,,neutral,,,,
2010-02-20 00:00:00,,neutral,,,,
2010-02-20 04:00:00,,neutral,,,,
2010-02-20 08:00:00,,neutral,,,,
2010-02-20 12:00:00,,neutral,,,,
2010-02-20 16:00:00,,neutral,,,,
2010-02-20 20:00:00,,neutral,,,,
2010-02-21 00:00:00,,neutral,,,,
2010-02-21 04:00:00,,neutral,,,,
2010-02-21 08:00:00,,neutral,,,,
2010-02-21 12:00:00,,neutral,,,,
2010-02-21 16:00:00,-0.2603663130134344,negative,0.13406666666666664,-0.9296500000000001,0.0353577900677919,0.14381435513496396
2010-02-21 20:00:00,,neutral,,,,
2010-02-22 00:00:00,,neutral,,,,
2010-02-22 04:00:00,,neutral,,,,
2010-02-22 08:00:00,,neutral,,,,
2010-02-22 12:00:00,,neutral,,,,
2010-02-22 16:00:00,,neutral,,,,
2010-02-22 20:00:00,,neutral,,,,
2010-02-23 00:00:00,,neutral,,,,
2010-02-23 04:00:00,,neutral,,,,
2010-02-23 08:00:00,,neutral,,,,
2010-02-23 12:00:00,,neutral,,,,
2010-02-23 16:00:00,,neutral,,,,
2010-02-23 20:00:00,,neutral,,,,
2010-02-24 00:00:00,,neutral,,,,
2010-02-24 04:00:00,,neutral,,,,
2010-02-24 08:00:00,,neutral,,,,
2010-02-24 12:00:00,,neutral,,,,
